"lot","PCA1","PCA2","kMeansCluster"
"1142",-2.25959255629095,1.7271248745494,"2"
"1145",-4.0666303953831,0.147552977295693,"1"
"4155",-5.94938244294564,-1.51806750886296,"1"
"5158",-4.0514660290788,-1.14239267014373,"1"
"6162",-4.18530574963996,-1.66351557787869,"1"
"6166",-2.99449895872185,-1.65564872668995,"1"
"6171",7.56684132839691,0.594013854167628,"3"
"7177",-1.89781342308906,1.95626917975861,"2"
"7179",-1.53577842454158,3.55342667269449,"2"
"8184",5.22755089844298,1.32872248849417,"3"
"8185",7.21122472834551,-0.98668386189724,"3"
"8189",6.93485102450554,-2.34080170148741,"3"
